epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,28153.5,0.54562,0.31886,0.90555,0.94058,0.92946,0.95724,0.78461,0.72112,0.4167,0.99632,0.0004655,0.0004655,0.0004655
157,28350,0.54404,0.32348,0.90169,0.94422,0.91312,0.96038,0.76958,0.74509,0.43377,1.00771,0.0004556,0.0004556,0.0004556
158,28541.4,0.54408,0.31538,0.9081,0.9334,0.93043,0.95984,0.76095,0.78383,0.44341,1.02739,0.0004457,0.0004457,0.0004457
159,28716.2,0.54179,0.31698,0.90847,0.91474,0.90871,0.96016,0.75934,0.77177,0.47679,1.01366,0.0004358,0.0004358,0.0004358
160,28898.4,0.54491,0.32087,0.90774,0.95424,0.90456,0.95472,0.77742,0.72728,0.43332,0.9987,0.0004259,0.0004259,0.0004259
161,29096.8,0.53998,0.31763,0.90568,0.92972,0.90871,0.94751,0.77863,0.72486,0.44297,0.98984,0.000416,0.000416,0.000416
162,29256.8,0.53762,0.30836,0.90495,0.93819,0.90456,0.9486,0.76635,0.75128,0.46215,1.0118,0.0004061,0.0004061,0.0004061
163,29448,0.53958,0.30786,0.90554,0.91708,0.91786,0.94047,0.76039,0.76077,0.45413,1.02627,0.0003962,0.0003962,0.0003962
164,29618.5,0.53023,0.31053,0.9026,0.92555,0.92531,0.95322,0.77415,0.72416,0.42883,1.01343,0.0003863,0.0003863,0.0003863
165,29807.1,0.52233,0.30494,0.90323,0.9272,0.90871,0.9478,0.77145,0.75062,0.43542,1.01539,0.0003764,0.0003764,0.0003764
166,30002.6,0.53615,0.31358,0.903,0.93603,0.91077,0.96309,0.78535,0.71929,0.41493,1.003,0.0003665,0.0003665,0.0003665
167,30157.4,0.53695,0.31593,0.91136,0.93748,0.91701,0.9619,0.78495,0.72489,0.4209,1.00044,0.0003566,0.0003566,0.0003566
168,30335.7,0.52759,0.31125,0.89993,0.93032,0.90456,0.95468,0.77279,0.77019,0.45439,1.01475,0.0003467,0.0003467,0.0003467
169,30516.7,0.51513,0.31037,0.90192,0.93906,0.90871,0.9582,0.77289,0.75023,0.45649,1.0051,0.0003368,0.0003368,0.0003368
170,30679.3,0.52011,0.30194,0.89312,0.92291,0.93361,0.96355,0.78152,0.7101,0.40723,0.99435,0.0003269,0.0003269,0.0003269
171,30853.8,0.52032,0.30239,0.89988,0.93822,0.92116,0.95848,0.7736,0.71734,0.41098,0.99558,0.000317,0.000317,0.000317
172,31024.6,0.50482,0.29767,0.89349,0.93695,0.92495,0.95235,0.77264,0.7541,0.41785,1.01278,0.0003071,0.0003071,0.0003071
173,31204.9,0.51423,0.30448,0.8973,0.9576,0.91286,0.96649,0.78441,0.73929,0.40959,1.00847,0.0002972,0.0002972,0.0002972
174,31378.3,0.52145,0.30882,0.90541,0.93225,0.90456,0.95345,0.77736,0.75234,0.4536,1.02271,0.0002873,0.0002873,0.0002873
175,31551.2,0.4951,0.28904,0.89326,0.9216,0.93776,0.96,0.78612,0.72836,0.42979,1.01232,0.0002774,0.0002774,0.0002774
176,31745.8,0.49668,0.29293,0.88481,0.92575,0.93126,0.9591,0.78511,0.72977,0.43161,1.00525,0.0002675,0.0002675,0.0002675
177,31932,0.50303,0.29582,0.89629,0.95191,0.9034,0.96153,0.78608,0.72908,0.41015,0.99605,0.0002576,0.0002576,0.0002576
178,32124.1,0.50662,0.30277,0.89355,0.93779,0.90041,0.95622,0.77889,0.73036,0.41833,0.99243,0.0002477,0.0002477,0.0002477
